start,end,text,labels,id
26202,26363,"However, the High Court would not rest its decision merely because there is a mention of Section 307 IPC in the FIR or the charge is framed under this provision.",['ANALYSIS'],d2f4cc5eae274a07a8d6739d9c43f28b_133
26364,26611,"It would be open to the High Court to examine as to whether incorporation of Section 307 IPC is there for the sake of it or the prosecution has collected sufficient evidence, which if proved, would lead to proving the charge under Section 307 IPC.",['ANALYSIS'],13002cce2cf345fbaac300728f268df1_134
26612,26808,"For this purpose, it would be open to the High court to go by the nature of injury sustained, whether such injury is inflicted on the vital/delegate parts of the body, nature of weapons used, etc.",['ANALYSIS'],fe4813b987954563b7c3638c75e9fa07_135
26809,26906,Medical report in respect of injuries suffered by the victim can generally be the guiding factor.,['ANALYSIS'],ed1aac0c60a3405896bbc9d8b5133cc9_136
26907,27085,"On the basis of this prima facie analysis, the High court can examine as to whether there is a strong possibility of conviction or the chances of conviction are remote and bleak.",['ANALYSIS'],98661817c1994269911371f2026572d4_137
27086,27341,In the former case it can refuse to accept the settlement and quash the criminal proceedings whereas in the latter case it would be permissible for the High Court to accept the plea compounding the offence based on complete settlement between the parties.,['ANALYSIS'],7f09140dab9c4eda9f68c8ae236a6b0d_138
27342,27525,"At this stage, the court can also be swayed by the fact that the settlement between the parties is going to result in harmony between them which may improve their future relationship.",['ANALYSIS'],ada0f3439b8642b1bed7ae7aecdc2118_139
27526,27660,"

29.7 While deciding whether to exercise its power under Section 482 of the Code or not, timings of settlement play a crucial role.",['ANALYSIS'],31f2e29ea8ad4952bc403bfe9f20e168_140
27661,27911,"Those cases where the settlement is arrived at immediately after the alleged commission of offence and the matter is still under investigation, the High court may be liberal in accepting the settlement to quash the criminal proceedings/investigation.",['ANALYSIS'],02d7bfe298064763b7ae294a228dc449_141
27912,28034,It is because of the reason that at this stage the investigation is still on and even the charge-sheet has not been filed.,['ANALYSIS'],230ff941a73b4a728e67427e4710ee71_142
28035,28312,"Likewise, those cases where the charge is framed but the evidence is yet to start or the evidence is still at infancy stage, the High court can show benevolence in exercising its powers favourably, but after prima facie assessment of the circumstances/material mentioned above.",['ANALYSIS'],4f66d09d6d0b49e5a2d72aa2e2cb3c2c_143
28313,28747,"On the other hand, where the prosecution evidence is almost complete or after the conclusion of the evidence the matter is at the stage of argument, normally the High Court should refrain from exercising its power under Section 482 of the Code, as in such cases the trial court would be in a position to decide the case finally on merits and to come to a conclusion as to whether the offence under Section 307 IPC is committed or not.",['ANALYSIS'],360a25fb6af84816a8fdd4be2f920245_144
28748,29064,"Similarly, in those cases where the conviction is already recorded by the trial court and the matter is at the appellate stage before the High Court, mere compromise between the parties would not be a ground to accept the same resulting in acquittal of the offender who has already been convicted by the trial court.",['ANALYSIS'],a1a228ad1620412ca345befb6c262fd5_145
29065,29250,"Here charge is proved under Section 307 IPC and conviction is already recorded of a heinous crime and, therefore, there is no question of sparing a convict found guilty of such a crime.",['ANALYSIS'],f0a830d332a84c25b0e96608052f392b_146
29251,29276,"(emphasis is ours)

21.",['ANALYSIS'],00e52acfbf36415ea03f76bd315db783_147
29277,29456,"It is not possible for us to accept the submissions advanced at the hands of the learned counsel for respondent nos.1 to 3, on the basis of the observations extracted hereinabove.",['ANALYSIS'],a96a7c3dbd79474788681bbdb837acca_148
29457,29777,"In the above judgment, this Court was of the view, that it would be open to the High Court to examine, as to whether there was material to substantiate the charge under Section 307 of the Indian Penal Code, and also, to determine whether the prosecution had collected sufficient evidence to substantiate the said charge.",['ANALYSIS'],1c4d9406f84c43b9aa6a7b98b6f0a2f8_149
29778,29909,"And in case sufficient evidence to sustain the charges did not emerge, it would be open to the High Court to quash the proceedings.",['ANALYSIS'],e187ccfd979f491fa73d52fb7d6a1c22_150
29910,30018,"We are of the view, that the instant judgment had no relevance, to the facts and circumstances of this case.",['ANALYSIS'],31cdc06cb63046089b821ced7b80ff8b_151
30019,30159,"Herein, the investigation has been completed, and the final report was filed before the Chief Judicial Magistrate, Ernakulam, on 22.03.2009.",['ANALYSIS'],61eb92798f50421d9912ad2d52c894ef_152
30160,30202,More than 6 years have gone by since then.,['ANALYSIS'],6d56eb218f8f4fb398cd4027fa30fab0_153
30203,30323,"It is not the case of the accused, that the final report does not contain adequate material to substantiate the charges.",['ANALYSIS'],0e2bff9621ec4fb6b6861e159b1908df_154
30324,30558,"J.Ramesh Kamath, appellant no.1 herein, has been cited as charge witness no.5; Giri Nair- appellant No.2 herein, has been cited as charge witness no.6; and Antony Tharian  appellant no.3 herein, has been cited as charge witness no.18.",['ANALYSIS'],c36dda994c3445fa972dc52af914c699_155
30559,30658,"It is their contention, that the charges are clearly made out on the basis of documentary evidence.",['RATIO'],37e7a1f046d24a249c4328f563a156ac_156
30659,30680,We would say no more.,['RATIO'],49422d01ad3e4e7185cc5ace87050a20_157
30681,30748,"But that, the inferences are those of the appellants, and not ours.",['RATIO'],251c228ea251416abf45b6cfa8394fc8_158
30749,30840,"The eventual outcome would emerge from the evidence produced before the trial court.

22.",['RPC'],fad3ce6ebd8b43ddbb472266d25f0f89_159
30841,30957,"For the reasons recorded hereinabove, we allow the appeal and set aside the impugned order passed by the High Court.",['RPC'],f9f835d92dbd4e9094f4b2756849a519_160
30958,31055,"CC No.90 of 2009 is accordingly restored on the file of the Chief Judicial Magistrate, Ernakulam.",['RPC'],8d9d56003c00426b9f8a01a46d1ff739_161
31056,31141,"We direct the trial court to proceed further with the matter, in accordance with law.",['RPC'],34072ece927b4670a22f7e6c41933d11_162
31142,31280,"

23 . In the peculiar facts and circumstances of this case, we cannot endorse or appreciate the stand adopted by respondent Nos.4 to 9.",['RPC'],ba02c4dcbe894c1087c765cd20423934_163
31281,31709,"We accordingly direct further investigation in this matter, pertaining to the role of respondent nos.4 to 9, and direct initiation of proceedings against them, if made out, in accordance with law.

..........................J.

                                           (JAGDISH      SINGH       KHEHAR)





..........................J.
                                 (C.NAGAPPAN)


NEW DELHI;
MAY 04, 2016.
",['NONE'],f615c1f0c7a643d19b1e6d188699081c_164
